"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Spotify Integration API Test","0","Playlist","2","0","","0"
"0","Spotify Integration API Test","0","Playlist","1","0","Test relevant to creating a playlist","0"
"0","Spotify Integration API Test","0","Artists","1","0","","0"
