"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3429","System should be able to update a playlist with details","Surefire suite","Mon Dec 29 05:51:14 UTC 2025","passed","Mon Dec 29 05:51:17 UTC 2025","com.learning.spotify.tests.PlaylistTests","Surefire test","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToUpdateAPlaylist"
"","3328","System should not be able to create a playlist without name","Surefire suite","Mon Dec 29 05:51:14 UTC 2025","passed","Mon Dec 29 05:51:17 UTC 2025","com.learning.spotify.tests.PlaylistTests","Surefire test","com.learning.spotify.tests.PlaylistTests","ShouldNotBeAbleToCreateAPlaylistWithoutName"
"","3247","System should be able to view an Artist's albums","Surefire suite","Mon Dec 29 05:51:14 UTC 2025","passed","Mon Dec 29 05:51:17 UTC 2025","com.learning.spotify.tests.ArtistTests","Surefire test","com.learning.spotify.tests.ArtistTests","ShouldBeAbleToViewAlbumDetailsForAnArtist"
"","3232","System should be able to view a playlist","Surefire suite","Mon Dec 29 05:51:14 UTC 2025","passed","Mon Dec 29 05:51:17 UTC 2025","com.learning.spotify.tests.PlaylistTests","Surefire test","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToGetAPlaylist"
