"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 30 10:18:16 GMT 2023","Sat Dec 30 10:18:17 GMT 2023","277","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToUpdateAPlaylist","System should be able to update a playlist with details",""
"passed","Sat Dec 30 10:18:17 GMT 2023","Sat Dec 30 10:18:17 GMT 2023","158","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldNotBeAbleToCreateAPlaylistWithoutName","System should not be able to create a playlist without name",""
"passed","Sat Dec 30 10:18:13 GMT 2023","Sat Dec 30 10:18:16 GMT 2023","3317","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToGetAPlaylist","System should be able to view a playlist",""
"passed","Sat Dec 30 10:18:17 GMT 2023","Sat Dec 30 10:18:17 GMT 2023","236","Surefire suite","Surefire test","com.learning.spotify.tests.ArtistTests","com.learning.spotify.tests.ArtistTests","ShouldBeAbleToViewAlbumDetailsForAnArtist","System should be able to view an Artist's albums",""
