"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 28 06:42:38 GMT 2024","Wed Feb 28 06:42:41 GMT 2024","3295","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToGetAPlaylist","System should be able to view a playlist",""
"passed","Wed Feb 28 06:42:38 GMT 2024","Wed Feb 28 06:42:41 GMT 2024","3241","Surefire suite","Surefire test","com.learning.spotify.tests.ArtistTests","com.learning.spotify.tests.ArtistTests","ShouldBeAbleToViewAlbumDetailsForAnArtist","System should be able to view an Artist's albums",""
"passed","Wed Feb 28 06:42:38 GMT 2024","Wed Feb 28 06:42:41 GMT 2024","3486","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToUpdateAPlaylist","System should be able to update a playlist with details",""
"passed","Wed Feb 28 06:42:38 GMT 2024","Wed Feb 28 06:42:41 GMT 2024","3365","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldNotBeAbleToCreateAPlaylistWithoutName","System should not be able to create a playlist without name",""
