"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 30 16:14:03 GMT 2023","Sat Dec 30 16:14:06 GMT 2023","2455","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldNotBeAbleToCreateAPlaylistWithExpiredToken","System should not be able to create a playlist with expired token",""
"passed","Sat Dec 30 16:14:03 GMT 2023","Sat Dec 30 16:14:06 GMT 2023","3255","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToGetAPlaylist","System should be able to view a playlist",""
"passed","Sat Dec 30 16:14:03 GMT 2023","Sat Dec 30 16:14:07 GMT 2023","3309","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToCreateAPlaylist","System should be able to create a playlist","Playlist related scenarios relevant to spotify application on creation, viewing and updating"
"passed","Sat Dec 30 16:14:03 GMT 2023","Sat Dec 30 16:14:06 GMT 2023","3206","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToUpdateAPlaylist","System should be able to update a playlist with details",""
"passed","Sat Dec 30 16:14:03 GMT 2023","Sat Dec 30 16:14:06 GMT 2023","3221","Surefire suite","Surefire test","com.learning.spotify.tests.ArtistTests","com.learning.spotify.tests.ArtistTests","ShouldBeAbleToViewAlbumDetailsForAnArtist","System should be able to view an Artist's albums",""
"passed","Sat Dec 30 16:14:03 GMT 2023","Sat Dec 30 16:14:06 GMT 2023","3148","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldNotBeAbleToCreateAPlaylistWithoutName","System should not be able to create a playlist without name",""
"passed","Sat Dec 30 16:14:03 GMT 2023","Sat Dec 30 16:14:06 GMT 2023","3261","Surefire suite","Surefire test","com.learning.spotify.tests.ArtistTests","com.learning.spotify.tests.ArtistTests","ShouldBeAbleToViewArtist","System should be able to view an artist details","Artist related scenarios relevant to spotify application on viewing details, albums, related artist details"
