"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 30 10:10:37 GMT 2023","Sat Dec 30 10:10:40 GMT 2023","3056","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToGetAPlaylist","System should be able to view a playlist",""
"passed","Sat Dec 30 10:10:37 GMT 2023","Sat Dec 30 10:10:40 GMT 2023","2958","Surefire suite","Surefire test","com.learning.spotify.tests.ArtistTests","com.learning.spotify.tests.ArtistTests","ShouldBeAbleToViewAlbumDetailsForAnArtist","System should be able to view an Artist's albums",""
"passed","Sat Dec 30 10:10:37 GMT 2023","Sat Dec 30 10:10:40 GMT 2023","3256","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToUpdateAPlaylist","System should be able to update a playlist with details",""
"passed","Sat Dec 30 10:10:37 GMT 2023","Sat Dec 30 10:10:40 GMT 2023","3150","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldNotBeAbleToCreateAPlaylistWithoutName","System should not be able to create a playlist without name",""
