"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 07 04:27:40 GMT 2024","Sun Jan 07 04:27:43 GMT 2024","3281","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldNotBeAbleToCreateAPlaylistWithoutName","System should not be able to create a playlist without name",""
"passed","Sun Jan 07 04:27:40 GMT 2024","Sun Jan 07 04:27:43 GMT 2024","3212","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToGetAPlaylist","System should be able to view a playlist",""
"passed","Sun Jan 07 04:27:40 GMT 2024","Sun Jan 07 04:27:43 GMT 2024","3363","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToUpdateAPlaylist","System should be able to update a playlist with details",""
"passed","Sun Jan 07 04:27:40 GMT 2024","Sun Jan 07 04:27:43 GMT 2024","3057","Surefire suite","Surefire test","com.learning.spotify.tests.ArtistTests","com.learning.spotify.tests.ArtistTests","ShouldBeAbleToViewAlbumDetailsForAnArtist","System should be able to view an Artist's albums",""
