"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 30 10:27:42 GMT 2023","Sat Dec 30 10:27:45 GMT 2023","3057","Surefire suite","Surefire test","com.learning.spotify.tests.ArtistTests","com.learning.spotify.tests.ArtistTests","ShouldBeAbleToViewAlbumDetailsForAnArtist","System should be able to view an Artist's albums",""
"passed","Sat Dec 30 10:27:42 GMT 2023","Sat Dec 30 10:27:45 GMT 2023","3227","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToGetAPlaylist","System should be able to view a playlist",""
"passed","Sat Dec 30 10:27:42 GMT 2023","Sat Dec 30 10:27:45 GMT 2023","3317","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldNotBeAbleToCreateAPlaylistWithoutName","System should not be able to create a playlist without name",""
"passed","Sat Dec 30 10:27:42 GMT 2023","Sat Dec 30 10:27:46 GMT 2023","3390","Surefire suite","Surefire test","com.learning.spotify.tests.PlaylistTests","com.learning.spotify.tests.PlaylistTests","ShouldBeAbleToUpdateAPlaylist","System should be able to update a playlist with details",""
